prod,prod,pond
HERRAMIENTASELECTRICASYACCESORIOS,PRODUCTO_HERRAMIENTASELECTRICASYACCESORIOS,0.04308
HERRAMIENTASMANUALESYACCESORIOS,PRODUCTO_HERRAMIENTASMANUALESYACCESORIOS,0.06334
ACCESORIOSDEILUMINACION,PRODUCTO_ACCESORIOSDEILUMINACION,0.05921
ARTICULOSDECERRAJERIA,PRODUCTO_ARTICULOSDECERRAJERIA,0.05605
ACCESORIOSELECTRICOS,PRODUCTO_ACCESORIOSELECTRICOS,0.05831
PILAS,PRODUCTO_PILAS,0.03477
AROMATIZADORYDESINFECTANTEAMBIENTAL,PRODUCTO_AROMATIZADORYDESINFECTANTEAMBIENTAL,0.08667
DETERGENTEYSUAVIZANTEPARAROPA,PRODUCTO_DETERGENTEYSUAVIZANTEPARAROPA,0.46756
LAVALOZA,PRODUCTO_LAVALOZA,0.07569
LIMPIADOR,PRODUCTO_LIMPIADOR,0.18733
INSECTICIDASYSIMILARES,PRODUCTO_INSECTICIDASYSIMILARES,0.03315
ARTICULOSDELIMPIEZA,PRODUCTO_ARTICULOSDELIMPIEZA,0.10211
SERVILLETASYTOALLADEPAPEL,PRODUCTO_SERVILLETASYTOALLADEPAPEL,0.19432
SERVICIODOMESTICO,PRODUCTO_SERVICIODOMESTICO,2.6473
"MEDICAMENTOSANTIINFECCIOSOS,ANTIVIRALESYANTIFUNGICOS","PRODUCTO_MEDICAMENTOSANTIINFECCIOSOS,ANTIVIRALESYANTIFUNGICOS",0.10445
MEDICAMENTOSPARAELAPARATOCARDIOVASCULAR,PRODUCTO_MEDICAMENTOSPARAELAPARATOCARDIOVASCULAR,0.20425
HORMONASYMEDICAMENTOSPARAELSISTEMAGENITO-URINARIO,PRODUCTO_HORMONASYMEDICAMENTOSPARAELSISTEMAGENITO-URINARIO,0.30228
"MEDICAMENTOSANTIINFLAMATORIOSNOCORTICOIDES,ANTIMIGRAÑOSOSYSISTEMAOSTEO-MUSCULAR","PRODUCTO_MEDICAMENTOSANTIINFLAMATORIOSNOCORTICOIDES,ANTIMIGRAÑOSOSYSISTEMAOSTEO-MUSCULAR",0.13352
MEDICAMENTOSPARAELSISTEMARESPIRATORIO,PRODUCTO_MEDICAMENTOSPARAELSISTEMARESPIRATORIO,0.27948
"MEDICAMENTOSDERMATOLOGICOS,DESINFECTANTESYANTISEPTICOS","PRODUCTO_MEDICAMENTOSDERMATOLOGICOS,DESINFECTANTESYANTISEPTICOS",0.17123
MEDICAMENTOSPARAELSISTEMANERVIOSOCENTRAL,PRODUCTO_MEDICAMENTOSPARAELSISTEMANERVIOSOCENTRAL,0.37725
MEDICAMENTOSPARAELAPARATODIGESTIVOYMETABOLICO,PRODUCTO_MEDICAMENTOSPARAELAPARATODIGESTIVOYMETABOLICO,0.60521
PREPARADOSOFTALMOLOGICOS,PRODUCTO_PREPARADOSOFTALMOLOGICOS,0.08479
"MEDICAMENTOSPARAELTRATAMIENTODELCANCER,MODIFICADORESDELSISTEMAINMUNEYFARMACOSUTILIZADOSENLOSCUIDADOSPALIATIVOSDELDOLOR","PRODUCTO_MEDICAMENTOSPARAELTRATAMIENTODELCANCER,MODIFICADORESDELSISTEMAINMUNEYFARMACOSUTILIZADOSENLOSCUIDADOSPALIATIVOSDELDOLOR",0.07528
MEDICAMENTOSHOMEOPATICOSYSUPLEMENTOSALIMENTICIOS,PRODUCTO_MEDICAMENTOSHOMEOPATICOSYSUPLEMENTOSALIMENTICIOS,0.08545
PRODUCTOSPARALACURACIONDEHERIDAS,PRODUCTO_PRODUCTOSPARALACURACIONDEHERIDAS,0.0678
PRESERVATIVOS,PRODUCTO_PRESERVATIVOS,0.00823
LENTESDECORRECCION,PRODUCTO_LENTESDECORRECCION,0.34303
ARTICULOSPARAMEDIRPARAMETROSDESALUD,PRODUCTO_ARTICULOSPARAMEDIRPARAMETROSDESALUD,0.05639
CONSULTAMEDICA,PRODUCTO_CONSULTAMEDICA,1.13844
PROCEDIMIENTOEINTERVENCIONQUIRURGICAAMBULATORIA,PRODUCTO_PROCEDIMIENTOEINTERVENCIONQUIRURGICAAMBULATORIA,0.55348
CONSULTAYTRATAMIENTOODONTOLOGICO,PRODUCTO_CONSULTAYTRATAMIENTOODONTOLOGICO,1.26413
EXAMENDEIMAGENOLOGIAYRADIOLOGIA,PRODUCTO_EXAMENDEIMAGENOLOGIAYRADIOLOGIA,0.33872
EXAMENDELABORATORIOCLINICO,PRODUCTO_EXAMENDELABORATORIOCLINICO,0.26094
SERVICIODEOTROSPROFESIONALESDELASALUD,PRODUCTO_SERVICIODEOTROSPROFESIONALESDELASALUD,0.34187
SERVICIODEHOSPITALIZACION,PRODUCTO_SERVICIODEHOSPITALIZACION,0.97156
AUTOMOVILNUEVO,PRODUCTO_AUTOMOVILNUEVO,2.85541
AUTOMOVILUSADO,PRODUCTO_AUTOMOVILUSADO,0.27347
MOTOCICLETA,PRODUCTO_MOTOCICLETA,0.05903
BICICLETA,PRODUCTO_BICICLETA,0.06915
REPUESTOSPARAELFUNCIONAMIENTOELECTRICODELAUTOMOVIL,PRODUCTO_REPUESTOSPARAELFUNCIONAMIENTOELECTRICODELAUTOMOVIL,0.07448
NEUMATICOSYLLANTAS,PRODUCTO_NEUMATICOSYLLANTAS,0.12297
REPUESTOSYACCESORIOSPARAELFUNCIONAMIENTOMECANICODELAUTOMOVIL,PRODUCTO_REPUESTOSYACCESORIOSPARAELFUNCIONAMIENTOMECANICODELAUTOMOVIL,0.20054
GASOLINA,PRODUCTO_GASOLINA,2.73049
PETROLEODIESEL,PRODUCTO_PETROLEODIESEL,0.38425
LUBRICANTESYACEITESPARAELAUTOMOVIL,PRODUCTO_LUBRICANTESYACEITESPARAELAUTOMOVIL,0.03754
SERVICIODEMANTENCIONYREPARACIONDELAUTOMOVIL,PRODUCTO_SERVICIODEMANTENCIONYREPARACIONDELAUTOMOVIL,0.8548
SERVICIODELAVADODELAUTOMOVIL,PRODUCTO_SERVICIODELAVADODELAUTOMOVIL,0.03766
SERVICIODEESTACIONAMIENTO,PRODUCTO_SERVICIODEESTACIONAMIENTO,0.2761
SERVICIODEPEAJE,PRODUCTO_SERVICIODEPEAJE,0.72502
LICENCIADECONDUCIR,PRODUCTO_LICENCIADECONDUCIR,0.02589
REVISIONTECNICADELAUTOMOVIL,PRODUCTO_REVISIONTECNICADELAUTOMOVIL,0.07264
SERVICIODETRANSPORTEENTAXICOLECTIVO,PRODUCTO_SERVICIODETRANSPORTEENTAXICOLECTIVO,0.66401
SERVICIODETRANSPORTEENTAXI,PRODUCTO_SERVICIODETRANSPORTEENTAXI,0.33569
SERVICIODETRANSPORTEESCOLAR,PRODUCTO_SERVICIODETRANSPORTEESCOLAR,0.20798
