Fecha,Dia,Mes,Year,a,b
10.12.2014,10,12,2014,615.88,
11.12.2014,11,12,2014,617.3,
12.12.2014,12,12,2014,618.15,
15.12.2014,15,12,2014,619.14,
16.12.2014,16,12,2014,620.82,
17.12.2014,17,12,2014,616.5,
18.12.2014,18,12,2014,614.6,
19.12.2014,19,12,2014,611.5,
22.12.2014,22,12,2014,608.6,
23.12.2014,23,12,2014,610.02,
24.12.2014,24,12,2014,608.5,
25.12.2014,25,12,2014,608.5,
26.12.2014,26,12,2014,607.75,
29.12.2014,29,12,2014,608.43,
30.12.2014,30,12,2014,607.38,
31.12.2014,31,12,2014,606.9,
01.01.2015,1,1,2015,606.5,621.6609091
02.01.2015,2,1,2015,613.63,
05.01.2015,5,1,2015,617.35,
06.01.2015,6,1,2015,616.45,
07.01.2015,7,1,2015,614.14,
08.01.2015,8,1,2015,612.86,
09.01.2015,9,1,2015,614.49,
12.01.2015,12,1,2015,616.52,
13.01.2015,13,1,2015,619.48,
14.01.2015,14,1,2015,625.83,
15.01.2015,15,1,2015,625.52,
16.01.2015,16,1,2015,627.88,
19.01.2015,19,1,2015,628.1,
20.01.2015,20,1,2015,628.87,
21.01.2015,21,1,2015,628.16,
22.01.2015,22,1,2015,624.5,
23.01.2015,23,1,2015,625.5,
26.01.2015,26,1,2015,623.42,
27.01.2015,27,1,2015,623.38,
28.01.2015,28,1,2015,622.74,
29.01.2015,29,1,2015,627.64,
30.01.2015,30,1,2015,633.58,
02.02.2015,2,2,2015,630,622.471
03.02.2015,3,2,2015,625.57,
04.02.2015,4,2,2015,626.85,
05.02.2015,5,2,2015,623.88,
06.02.2015,6,2,2015,627.75,
09.02.2015,9,2,2015,624.33,
10.02.2015,10,2,2015,626.48,
11.02.2015,11,2,2015,629.98,
12.02.2015,12,2,2015,621.92,
13.02.2015,13,2,2015,618.75,
16.02.2015,16,2,2015,621.6,
17.02.2015,17,2,2015,621,
18.02.2015,18,2,2015,619.77,
19.02.2015,19,2,2015,619.65,
20.02.2015,20,2,2015,615.85,
23.02.2015,23,2,2015,623.06,
24.02.2015,24,2,2015,618.8,
25.02.2015,25,2,2015,617.12,
