prod,pond
"PRODUCTO_MEDICAMENTOSANTIINFLAMATORIOSNOCORTICOIDES,ANTIMIGRAÑOSOSYSISTEMAOSTEO-MUSCULAR",0.13352
PRODUCTO_MEDICAMENTOSPARAELSISTEMARESPIRATORIO,0.27948
"PRODUCTO_MEDICAMENTOSDERMATOLOGICOS,DESINFECTANTESYANTISEPTICOS",0.17123
PRODUCTO_MEDICAMENTOSPARAELSISTEMANERVIOSOCENTRAL,0.37725
PRODUCTO_MEDICAMENTOSPARAELAPARATODIGESTIVOYMETABOLICO,0.60521
PRODUCTO_PREPARADOSOFTALMOLOGICOS,0.08479
"PRODUCTO_MEDICAMENTOSPARAELTRATAMIENTODELCANCER,MODIFICADORESDELSISTEMAINMUNEYFARMACOSUTILIZADOSENLOSCUIDADOSPALIATIVOSDELDOLOR",0.07528
PRODUCTO_MEDICAMENTOSHOMEOPATICOSYSUPLEMENTOSALIMENTICIOS,0.08545
PRODUCTO_PRODUCTOSPARALACURACIONDEHERIDAS,0.0678
PRODUCTO_PRESERVATIVOS,0.00823
PRODUCTO_LENTESDECORRECCION,0.34303
PRODUCTO_ARTICULOSPARAMEDIRPARAMETROSDESALUD,0.05639
PRODUCTO_CONSULTAMEDICA,1.13844
PRODUCTO_PROCEDIMIENTOEINTERVENCIONQUIRURGICAAMBULATORIA,0.55348
PRODUCTO_CONSULTAYTRATAMIENTOODONTOLOGICO,1.26413
PRODUCTO_EXAMENDEIMAGENOLOGIAYRADIOLOGIA,0.33872
PRODUCTO_EXAMENDELABORATORIOCLINICO,0.26094
PRODUCTO_SERVICIODEOTROSPROFESIONALESDELASALUD,0.34187
PRODUCTO_SERVICIODEHOSPITALIZACION,0.97156
PRODUCTO_AUTOMOVILNUEVO,2.85541
PRODUCTO_AUTOMOVILUSADO,0.27347
PRODUCTO_MOTOCICLETA,0.05903
PRODUCTO_BICICLETA,0.06915
PRODUCTO_REPUESTOSPARAELFUNCIONAMIENTOELECTRICODELAUTOMOVIL,0.07448
PRODUCTO_NEUMATICOSYLLANTAS,0.12297
PRODUCTO_REPUESTOSYACCESORIOSPARAELFUNCIONAMIENTOMECANICODELAUTOMOVIL,0.20054
PRODUCTO_GASOLINA,2.73049
PRODUCTO_PETROLEODIESEL,0.38425
PRODUCTO_LUBRICANTESYACEITESPARAELAUTOMOVIL,0.03754
PRODUCTO_SERVICIODEMANTENCIONYREPARACIONDELAUTOMOVIL,0.8548
PRODUCTO_SERVICIODELAVADODELAUTOMOVIL,0.03766
PRODUCTO_SERVICIODEESTACIONAMIENTO,0.2761
PRODUCTO_SERVICIODEPEAJE,0.72502
PRODUCTO_LICENCIADECONDUCIR,0.02589
PRODUCTO_REVISIONTECNICADELAUTOMOVIL,0.07264
PRODUCTO_SERVICIODETRANSPORTEENTAXICOLECTIVO,0.66401
PRODUCTO_SERVICIODETRANSPORTEENTAXI,0.33569
PRODUCTO_SERVICIODETRANSPORTEESCOLAR,0.20798
PRODUCTO_SERVICIODETRANSPORTEENMICROBUS,0.5774
PRODUCTO_SERVICIODETRANSFER,0.0251
PRODUCTO_SERVICIODETRANSPORTEENBUSINTERURBANO,0.49365
PRODUCTO_SERVICIODETRANSPORTEAEREO,0.75389
PRODUCTO_SERVICIODETRANSPORTEMULTIMODAL,1.26432
PRODUCTO_EQUIPODETELEFONIAMOVIL,0.61378
PRODUCTO_SERVICIODECONEXIONINTERNET,0.29033
PRODUCTO_SERVICIODEBANDAANCHAMOVIL,0.01605
PRODUCTO_SERVICIODEPACKDETELECOMUNICACIONES,2.09814
PRODUCTO_SERVICIODETELEFONIAMOVIL,2.34556
PRODUCTO_SERVICIODETELEFONIAFIJA,0.09102
PRODUCTO_TELEVISOR,0.40468
PRODUCTO_EQUIPODESONIDO,0.04775
PRODUCTO_REPRODUCTORPORTATILDEAUDIOYVIDEO,0.03111
PRODUCTO_CAMARAFOTOGRAFICA,0.06172
PRODUCTO_COMPUTADOR,0.41602
PRODUCTO_IMPRESORA,0.05232
PRODUCTO_UNIDADDEALMACENAMIENTODIGITAL,0.04773
PRODUCTO_JUGUETES,0.39909
PRODUCTO_CONSOLADEVIDEOJUEGO,0.05363
PRODUCTO_IMPLEMENTOSDEPORTIVOS,0.18023
PRODUCTO_ARTICULOSDECAMPING,0.04496
PRODUCTO_INSTRUMENTOSMUSICALES,0.07416
PRODUCTO_FLORES,0.08826
PRODUCTO_PLANTAS,0.03139
PRODUCTO_ALIMENTOSPARAMASCOTAS,0.68823
PRODUCTO_ACCESORIOSPARAMASCOTAS,0.06456
PRODUCTO_SERVICIOSVETERINARIOS,0.24731
PRODUCTO_SERVICIOSPRESTADOSPORCENTROSRECREATIVOS,0.07416
PRODUCTO_ENTRADAAESPECTACULOSDEPORTIVOS,0.02565
PRODUCTO_ENTRADAACENTROSDEDIVERSIONNOCTURNOS,0.05024
PRODUCTO_SERVICIOSDEFIESTASDECUMPLEAÑOS,0.15119
PRODUCTO_GIMNASIOS,0.5476
PRODUCTO_CLASESDEPORTIVAS,0.20658
PRODUCTO_CLASESRECREATIVAS,0.1051
PRODUCTO_ENTRADAALCINE,0.23441
PRODUCTO_ENTRADAAESPECTACULOSCULTURALES,0.25826
PRODUCTO_SERVICIODEREVELADOFOTOGRAFICO,0.02779
PRODUCTO_SERVICIODETELEVISIONPAGADARESIDENCIAL,0.33837
PRODUCTO_SERVICIODESUSCRIPCIONENLINEA,0.0287
PRODUCTO_JUEGOSDEAZAR,0.02478
PRODUCTO_TEXTOESCOLAR,0.17324
PRODUCTO_LIBRO,0.22681
PRODUCTO_DIARIO,0.0714
PRODUCTO_CUADERNO,0.21817
PRODUCTO_MATERIALESPARAARTESMANUALES,0.09202
PRODUCTO_ARTICULOSDEESCRITORIO,0.03565
PRODUCTO_PAQUETETURISTICO,0.76585
